city,area_sqft,bedrooms,bathrooms,age_years,near_metro,furnished,price_lakhs
Mumbai,650,1,1,8,true,Semi,135
Mumbai,900,2,2,5,true,Furnished,210
Mumbai,1200,3,3,2,true,Furnished,330
Mumbai,1500,3,3,10,false,Semi,360
Mumbai,1800,4,4,3,true,Furnished,520
Delhi,700,1,1,12,true,Unfurnished,82
Delhi,1000,2,2,6,true,Semi,142
Delhi,1300,3,2,4,true,Furnished,220
Delhi,1600,3,3,8,false,Semi,250
Delhi,2100,4,4,2,true,Furnished,410
Bengaluru,650,1,1,6,false,Semi,58
Bengaluru,950,2,2,3,true,Semi,105
Bengaluru,1250,3,2,2,true,Furnished,165
Bengaluru,1550,3,3,7,false,Semi,185
Bengaluru,2000,4,4,1,true,Furnished,315
Hyderabad,700,1,1,5,false,Unfurnished,48
Hyderabad,1050,2,2,4,true,Semi,88
Hyderabad,1350,3,2,3,true,Semi,128
Hyderabad,1650,3,3,6,false,Furnished,165
Hyderabad,2200,4,4,2,true,Furnished,285
Pune,650,1,1,7,false,Semi,52
Pune,900,2,2,5,true,Semi,92
Pune,1200,2,2,2,true,Furnished,128
Pune,1500,3,3,4,true,Semi,172
Pune,1900,4,3,3,false,Furnished,250
Chennai,700,1,1,10,false,Unfurnished,50
Chennai,1000,2,2,6,true,Semi,86
Chennai,1300,3,2,4,false,Semi,118
Chennai,1600,3,3,3,true,Furnished,168
Chennai,2100,4,4,2,true,Furnished,275
Kolkata,750,1,1,15,false,Unfurnished,42
Kolkata,1050,2,2,9,true,Semi,72
Kolkata,1350,3,2,5,false,Semi,98
Kolkata,1700,3,3,4,true,Furnished,145
Kolkata,2200,4,4,3,true,Furnished,230
Ahmedabad,800,1,1,8,false,Unfurnished,45
Ahmedabad,1100,2,2,5,true,Semi,78
Ahmedabad,1400,3,2,4,false,Semi,105
Ahmedabad,1750,3,3,3,true,Furnished,155
Ahmedabad,2300,4,4,2,true,Furnished,245
